Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Status	# Board Issues	Board Issue	# Library Issues	Library Issue
2019-09-22 01:08:15	197	197.62	https://travis-ci.org/SpenceKonde/ATTinyCore/jobs/587970156	push	false	false	master	3c36a6debdc9afa0cd3f9549cb402a6e72325cb2	ea1abb80fc48...3c36a6debdc9	Codespell	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	ATTinyCore:avr:attinyx7:LTO=disable,chip=167,clock=8external,eesave=aenable,bod=1v8,neopixelport=portb,millis=enabled,pinmapping=new	1.6.7	418	9	0	false	0	0		0	
2019-09-22 01:08:23	197	197.62	https://travis-ci.org/SpenceKonde/ATTinyCore/jobs/587970156	push	false	false	master	3c36a6debdc9afa0cd3f9549cb402a6e72325cb2	ea1abb80fc48...3c36a6debdc9	Codespell	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	ATTinyCore:avr:attinyx7:LTO=disable,chip=167,clock=8external,eesave=aenable,bod=1v8,neopixelport=portb,millis=enabled,pinmapping=new	1.6.9	418	9	0	false	0	0		0	
2019-09-22 01:08:31	197	197.62	https://travis-ci.org/SpenceKonde/ATTinyCore/jobs/587970156	push	false	false	master	3c36a6debdc9afa0cd3f9549cb402a6e72325cb2	ea1abb80fc48...3c36a6debdc9	Codespell	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	ATTinyCore:avr:attinyx7:LTO=disable,chip=167,clock=8external,eesave=aenable,bod=1v8,neopixelport=portb,millis=enabled,pinmapping=new	1.6.13	416	9	0	false	0	0		0	
2019-09-22 01:08:37	197	197.62	https://travis-ci.org/SpenceKonde/ATTinyCore/jobs/587970156	push	false	false	master	3c36a6debdc9afa0cd3f9549cb402a6e72325cb2	ea1abb80fc48...3c36a6debdc9	Codespell	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	ATTinyCore:avr:attinyx7:LTO=disable,chip=167,clock=8external,eesave=aenable,bod=1v8,neopixelport=portb,millis=enabled,pinmapping=new	1.8.6	416	9	0	false	0	0		0	
2019-09-22 01:08:45	197	197.62	https://travis-ci.org/SpenceKonde/ATTinyCore/jobs/587970156	push	false	false	master	3c36a6debdc9afa0cd3f9549cb402a6e72325cb2	ea1abb80fc48...3c36a6debdc9	Codespell	/home/travis/arduino-ide/arduino/examples/01.Basics/BareMinimum/BareMinimum.ino	ATTinyCore:avr:attinyx7:LTO=disable,chip=167,clock=8external,eesave=aenable,bod=1v8,neopixelport=portb,millis=enabled,pinmapping=new	1.8.10	416	9	0	false	0	0		0	
